,portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
953,DASH-PIVX-ETC-XEM-STRAT-REP,1257.6471285459202,840,0,24014.93717956821,44474.33066454937
954,STRAT-XMR-DOGE-FCT-XEM-GNT,1521.8102531381974,928,0,31524.339639499238,60414.7033396161
955,ARDR-XRP-DOGE-DASH-LTC-GNT,1656.0407975047242,900,0,37213.72321343082,67000.02141310059
956,LTC-ARDR-DCR-STRAT-XRP-ZEC,1798.1054495716533,898,0,36544.9325844193,66015.50724522288
957,WAVES-BTC-LTC-GNT-ARDR-STEEM,1446.5907278027455,761,139,40756.302521976,72779.58423539337
958,GNO-ETC-XMR-XEM-XRP-GNT,1386.5834105166086,906,0,31547.015624222404,51347.126500262464
959,XLM-PIVX-WAVES-FCT-ZEC-GNO,1635.473540105073,944,0,83627.65456474728,63368.39097284401
960,GNT-DOGE-REP-ARDR-XMR-ETC,1262.7216037152118,904,0,27972.61242767077,48376.91645974246
961,DCR-DASH-DOGE-ZEC-BTC-STEEM,1030.0532169352448,721,73,33953.67605217777,54477.11304885591
962,DOGE-XEM-XMR-XLM-REP-DCR,2303.9174521260516,870,0,91214.54124882234,102664.03896623245
963,ETC-WAVES-DASH-XLM-ETH-BTC,1265.6035694972347,563,219,93298.77425755568,90327.25622513115
964,XEM-XMR-DASH-ZEC-LSK-ETH,1156.1639084711082,594,106,48706.17786581318,67899.67344668435
965,GNO-BTC-ETH-DOGE-LTC-PIVX,798.0310010701311,695,117,29053.613772402998,42130.46799430627
966,XLM-DCR-XRP-BTC-XEM-STRAT,2649.3032976100612,818,118,97346.45826609497,132909.1164424151
967,PIVX-XRP-ZEC-XMR-REP-FCT,1042.467193181041,768,0,29337.573720103515,42539.749206413675
968,FCT-STEEM-GNT-XRP-ZEC-ETH,1230.8018960992645,760,98,38460.34886861297,60521.84392578465
969,DOGE-XRP-DCR-REP-FCT-WAVES,1484.1327057636438,930,0,35847.03983888873,58101.21927306698
