portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
DASH-XVG-PTC-SLR-TX-VRM-RBY-FLO-POT-IOP,2335.432114086485,32688.061854060157,1704,0,34838.3317374563,67182.18378843556
SYS-DOPE-EXCL-LTC-NAV-ABY-AEON-FLO-EXP-ETC,1431.215767713321,19953.829770541688,1542,0,16697.112969488786,47520.090125402494
PTC-SEQ-WAVES-ETH-XLM-BSD-NEOS-SBD-RDD-SHIFT,1843.9116244318961,25706.947944086143,1526,12,21567.827380737373,63369.70749053808
IOC-XVG-ETC-EGC-VIA-XCP-XST-AMP-XMG-BSD,2352.4963546949666,31722.731824840906,1618,0,38320.760147601635,69874.88631589667
RVR-NEO-XVG-DOPE-PIVX-ETC-NAV-IOP-BCY-ERC,3401.8817331120895,48239.29711136154,1704,0,73343.67305389474,104038.46413580148
WAVES-POT-BLK-TX-XMY-CURE-NXS-PIVX-XVG-RDD,1988.434274965665,29222.31854893202,1576,0,37862.326180569464,67358.84564478784
ETH-IOP-PPC-SYS-BSD-DGB-GRC-XMG-DOPE-ERC,1469.3206220161996,21561.982461379175,1553,9,15646.617710320592,53197.65062962933
AMP-PIVX-STRAT-NXS-GRS-PTC-EGC-EXCL-CLOAK-WAVES,2536.875813611715,34664.537141036395,1738,0,45102.77195035662,95160.31822560764
SBD-PIVX-VTC-XMR-XMY-RDD-LTC-SLR-OK-DASH,1905.4963110479287,30841.88929133065,1460,0,21407.705435361924,65273.894921841675
TX-WAVES-SPR-SBD-GRC-ETH-NXT-STRAT-SLR-XRP,1059.9470964015825,14255.404385116155,1463,21,11470.43222362086,34055.10705205745
XVG-BTC-ENRG-SEQ-BSD-ETC-VRM-EBST-TX-NEO,4255.503152488119,66381.33120669244,1634,108,75488.11817439576,142183.09663047263
DOGE-IOP-NXS-DMD-NXT-EMC-BURST-SPR-XMG-PPC,1695.876929491735,22483.844229240898,1648,0,14157.07524171885,49443.83425433451
VRM-NXS-VTC-LBC-MONA-SYS-OK-XCP-NAV-SHIFT,2713.2147147050027,37656.82414155887,1706,0,25802.55938832691,77101.55905331911
EFL-EGC-NXS-XMG-SLR-VIA-NAV-ABY-CLAM-ETH,1476.2056990717936,21500.708020291448,1506,0,16744.524872041748,48239.73316662959
XRP-ENRG-STRAT-VTC-PIVX-FLO-GRS-NEO-SEQ-DGB,2592.4635875171325,39032.22941633919,1674,0,75691.69212012229,103541.49964571705
XMG-NXS-RBY-ENRG-RDD-STEEM-PIVX-ZEC-LBC-BSD,1412.0636694648726,18945.271685313193,1560,0,15710.647243591848,48267.988218721024
ETH-GRC-EXCL-BSD-EBST-NLG-BCY-PIVX-WAVES-XST,1609.2896839292678,22422.012283022836,1533,5,18275.23357221396,53370.30565632398
ZCL-SPR-AEON-POT-GRS-BLK-XMY-NXS-ABY-GRC,3279.013508215062,40966.07156679467,1906,0,35734.784160083254,102427.19736795394
EBST-DMD-AEON-RBY-BURST-BYC-AUR-STRAT-DGB-DOGE,1811.7628744243875,22722.36246093057,1600,0,15145.780271450847,55561.05191541368
STEEM-XVG-VTC-SPR-XCP-DCR-ABY-DMD-VIA-STRAT,2044.9474441335417,27278.424183470557,1674,0,39931.784228149554,68937.00314394449
PTC-SHIFT-AEON-XMG-ETC-REP-DGB-ZEC-IOC-EFL,1147.3107079534823,15713.107744401354,1474,0,15039.344936313546,39212.092051260144
ETH-STRAT-EXCL-BURST-BTC-AUR-REP-DMD-DOPE-RVR,1318.86998390769,20929.52051776184,1249,103,16924.208281363222,49372.18768639715
BSD-OK-EBST-SBD-STEEM-SHIFT-LBC-EXP-XLM-BURST,2486.717779460095,33320.28170953147,1682,0,18120.066000782335,76099.71315102324
XVG-BTC-POT-XRP-XCP-AUR-REP-DOGE-WAVES-SEQ,998.492883723302,16411.090349313545,1261,93,34944.2745446598,39131.01598449264
CLOAK-LBC-SYS-EGC-XRP-POT-GRS-STEEM-MONA-NAV,2737.6212314023455,41039.99391839352,1692,0,48761.34561196801,109549.02889727581
STRAT-DMD-IOC-RDD-SPR-WAVES-NXT-DCR-DGB-EBST,1951.4997394106217,26041.98098015091,1660,0,16833.58532573424,60902.18328080501
BYC-SPR-ERC-BCY-BSD-CURE-BTC-EXP-VTC-EGC,1236.159013135022,17045.9139893728,1365,99,16769.88320656124,42530.78312805133
SLR-NLG-AMP-OK-NAV-PPC-ETH-XVG-DOPE-GRC,1762.2500381704613,24123.854765700595,1600,0,36317.6459000458,55371.03036413467
GRS-RBY-XRP-CURE-ENRG-FLO-XST-VIA-BYC-WAVES,2099.8641129889675,27461.419452700593,1666,0,38591.70140718285,78928.58248377364
ERC-DGB-PIVX-SBD-FLO-POT-AUR-ZEC-LBC-RDD,981.9932992876979,13714.706619233,1504,0,13332.988221403191,35896.19987631076
MONA-BURST-NXS-NEO-RDD-BRK-STEEM-RVR-BSD-SPR,4075.2293501283293,53538.486405797084,1760,0,60794.54833950502,128872.87956851967
NEO-RBY-BURST-VRM-XCP-BLK-VTC-WAVES-ENRG-GRS,2679.825993259201,38636.01807195457,1702,0,72320.24981933484,93115.31763439141
GRC-NXS-SPR-LSK-OK-POT-ABY-VTC-PTC-RBY,2233.2656580156786,28340.783993288496,1682,0,20811.13047238037,61680.45806094296
SBD-DOGE-OK-CLOAK-XMY-POT-ETH-STRAT-AEON-TX,2135.8803061523363,30717.736655517838,1628,8,20516.077665822606,67535.56570061496
