,hodl,hourly,daily,weekly,monthly
XDN-XLM-SNT-BOXX-ANT,2409.352037276745,4735.7842395019925,4595.889551487,4384.2549921483205,3241.00535699548
AEON-XST-FCT-MUE-MFT,4231.577084964277,25487.660415533028,21922.743952709287,37827.9301044562,7438.796268330904
FCT-ABY-BAY-GRC-FTC,3953.6349665451366,15835.098357794188,14142.056782856003,23334.864292695787,7406.361468588577
OCN-CURE-WINGS-BSD-ETC,2807.4131774434913,9292.905450827297,7114.293283048315,5037.926379768305,3083.622027153851
MET-VEE-FLO-CLOAK-IHT,2533.8151505880387,9858.854176633107,6870.886461541511,5572.066988619089,3339.920801838985
EMC-MUSIC-XST-DGB-LOOM,2801.963050665081,8495.915952368881,6739.5327331773,5673.736084055797,3789.230478456319
CANN-MFT-TRX-FLO-BRX,2732.124143829969,10734.501498692422,7758.30368472298,5318.787731698196,3214.218854725021
PPC-TIX-MET-MORE-BAY,2642.2309630606987,7371.719416960859,5112.568168362885,4141.091430682311,2982.153389224985
SWIFT-ARK-PART-GO-PPC,3019.64470595093,10755.461986263022,6271.694473886971,5609.4667092087075,4483.003062333955
XVG-SPC-QWARK-DCT-BRK,2826.6185090297695,1.1571522413036538e+61,23895.596703105533,20366.856840392124,4020.9350139947655
BITB-LBC-USDS-LSK-EXCL,3110.2321621350043,15171.5273971221,5959.1153813410865,4913.8503021403885,3709.938796477604
DOPE-BLT-QRL-2GIVE-ZEN,2418.038223021353,10723.75652181244,7379.3054565413795,5182.599013955595,3077.9468924743896
TUSD-LOOM-2GIVE-DTB-GBYTE,3432.2941834993303,12883.315289104055,10940.997213888411,9514.573742530125,4319.98853901239
GRS-MUSIC-MER-SLR-XEL,2647.595417005008,7032.168134199537,6105.822920547774,4544.398561026168,3291.8878549591773
ZEN-DYN-MCO-GRS-PAY,2755.6274170012944,5523.918058843643,4283.219680868349,3888.209313408695,3099.8710550000847
CANN-REP-WINGS-IOC-EDG,2685.46987670034,5680.954381613075,4697.76089632294,3863.928308453831,3123.1646037201094
EMC-BKX-USDS-BOXX-BRX,2213.629911819598,19185.36568693692,7281.532610629788,6078.82323067259,3807.8661118261293
BFT-GBYTE-IHT-ARDR-DTA,2979.631024900243,6601.837025310497,5550.453760157647,4481.941754312453,3564.555575827066
IGNIS-GNO-CRW-DGB-2GIVE,2673.7060365700336,6568.160740877236,5316.376000117922,4613.155265673382,3176.8198407740324
DYN-DOPE-ZEN-ENJ-IOP,2653.867505591213,7185.436697836712,5391.946147429049,4879.534996106916,3555.170253935025
ZEN-MLN-EDG-SYS-SC,2368.927742493473,5157.617376183251,4337.709925655291,3758.9962485274823,2775.1797700466914
DOPE-XEM-DNT-QWARK-VTC,3346.4261027106604,10521.425601270528,9319.937747072436,9610.556330850795,4445.500676885345
WINGS-BFT-TX-BLOCK-DMT,2837.28024802069,10359.83744648192,7625.917423659352,5155.252225019338,4051.447206743682
SBD-ZCL-BURST-FCT-BTC,4207.003272441319,17478.10193024921,16177.843534221032,29236.307460061427,7300.72509706768
BAY-FTC-NLG-PINK-GNT,3255.988806484964,6225.371601438725,5537.118688860141,5447.359848388388,4223.3186283416335
SLR-MFT-TIX-DNT-ENG,2851.3764773151006,7340.012037253848,5510.7096077850865,4734.925325823733,3198.531342800704
XHV-CLOAK-MCO-BOXX-UKG,2060.597879489773,9119.190431406125,7074.1426983265255,5869.393765317227,7305.095026163778
ETC-MTL-ION-EMC2-BAT,2697.7661391117417,6043.264233112956,5519.304094858298,4335.915160836577,3463.286816134267
SWT-FTC-BCHABC-SHIFT-CURE,3136.460777567393,42691.7719355688,9915.591786881449,8748.268005954338,3756.340321077054
BRK-POLY-ZEC-DTA-BRX,2613.4241796203564,13018.711744296035,8144.008462856275,4887.364286514792,3398.5024572865577
EGC-BTC-EMC-UPP-ANT,2925.7404625834033,9545.084372599671,7586.524305060237,7195.710038520242,4459.5688027472825
EBST-CANN-GOLOS-BLOCK-VTC,2770.6549665292187,4761.961649239801,4530.642291055852,4286.320525728303,3395.207641275821
DCR-ADA-BTC-LTC-RVN,2534.611527594871,3929.578740303236,4241.8480159481205,3734.369675471393,2953.8378885099046
FCT-BLOCK-SEQ-BAT-SRN,3605.579484410213,22443.62139769263,17318.37817644597,27193.29655319294,7609.100194641685
DTA-XHV-PRO-WAX-AMP,2275.911614539145,10575.42128877,6949.251039918251,6718.605493579449,9185.743500657429
MFT-DCT-VIB-POT-PRO,2521.0585011735698,5907.93444139,4954.941206719198,4573.3988118002335,3640.7839295837707
BKX-THC-KORE-PAL-ABY,2901.0947228850787,31513.973278765086,9231.212584928024,7343.0269980661205,4184.129997179225
SYNX-GAM-BLOCK-MFT-FLDC,2442.1694521041936,9419.126573870899,6056.927702329344,4930.3619230769755,3134.366330491069
RCN-SC-ZEC-LTC-MORE,2583.6647404483333,4553.179404575176,3741.803708033901,3397.8374462933193,2820.934936058238
BTC-OMG-CURE-LSK-FLO,3236.2194255743407,8501.610196073576,6765.791940938983,5319.9372688615285,3511.4909744647334
TX-GNO-BOXX-NLC2-FLO,2802.434915940622,23022.643688076532,14100.854678971282,10585.800651091387,5235.9847825868355
MCO-TRX-TUBE-DMT-FCT,4422.956903472947,26434.46584474684,27390.459472005612,46299.021843600465,9911.363407648678
XDN-GEO-GUP-OK-TUSD,3076.5554372980823,7285.54649233447,6079.987901000197,5964.7331767625765,4809.462275678041
DYN-GEO-RADS-GBYTE-ABY,3184.3538035399733,11910.803711762848,6124.862252110737,4643.0246492043325,3902.4277171951867
SRN-DASH-IHT-DTB-AMP,2344.6272829490786,7427.542888737616,6170.871012081869,5898.485020408418,5698.611820234168
GAME-GEO-SYS-DOGE-CRW,2793.944287541404,7621.96721681283,5845.696780058265,4873.2931565779245,3770.5366290790917
SC-ARDR-SYS-IOP-GAM,2566.494934085261,5194.68346214729,4309.160513344436,3708.5036206522664,3034.2842567495286
EDG-STEEM-NEOS-BSD-MEME,2816.611522258779,12539.473482820926,7631.695042257714,5564.932429820053,3395.6625494889918
PTOY-POLY-RLC-XHV-MUE,2571.471982809447,8278.549633753772,5727.484645319447,5461.768674942472,6268.606696156061
QWARK-IOC-DTA-HMQ-ARK,2918.474385943077,11433.24900639544,8358.169358320842,7964.191491486049,4308.455354498489
GRC-XMR-EMC-RVR-REP,2859.852474556217,5905.194834309579,4428.208590334269,3893.5728834707897,3373.180206959873
XNK-ADA-XLM-DMT-PAY,3035.4156687436866,85547.99701833318,13497.62917261366,6302.845632674188,3711.494642145421
KMD-BOXX-PPC-NBT-EBST,2336.235222169704,6386.635819195118,5002.4722560191885,4532.588167807611,3225.9233361406928
THC-MER-BOXX-GNT-NXS,2320.08234663163,6460.218481539699,5291.672508713642,4167.8200050356345,2894.107901606415
RDD-EXP-FCT-ION-PPC,3921.6095394332506,20550.280302405707,17107.022739468157,33401.81173765284,8103.424912499067
UBQ-POLY-MONA-STRAT-MET,2520.839642951678,6116.204176298732,4620.000284996292,3718.8900116920295,2819.2047569311812
MTL-SALT-GAME-GOLOS-POT,3153.654275555772,7948.472702539522,7423.624744214692,6523.516913229161,4649.6212057577795
